506,113
506,112
506,110
505,109
506,108
506,107
506,107
507,105
506,104
506,103
506,102
506,101
506,101
506,99
506,99
506,97
506,97
506,96
506,95
507,94
507,93
506,92
507,92
507,92
508,91
507,90
508,90
508,89
508,88
508,87
508,87
508,86
508,85
508,85
508,84
508,83
508,83
508,82
508,82
509,81
508,80
509,80
508,79
509,79
509,78
509,77
509,77
509,77
509,76
509,76
509,75
509,75
510,75
509,74
510,74
509,73
510,73
510,72
509,73
510,72
510,71
510,72
510,71
511,71
510,70
511,71
510,70
511,71
511,70
511,69
511,70
511,69
511,70
511,69
511,69
511,69
511,69
511,69
512,69
511,68
512,69
512,69
511,69
512,69
512,69
512,69
512,69
513,69
512,69
513,69
512,69
513,69
513,70
513,69
513,70
513,69
513,70
513,70
514,70
513,70
514,71
513,71
514,71
514,71
514,72
514,72
514,72
515,72
514,73
514,73
515,73
515,74
514,74
515,75
515,75
515,76
515,76
515,76
515,77
515,78
515,78
516,78
515,79
516,79
516,80
515,81
517,81
516,82
516,82
516,83
516,83
517,84
516,85
517,85
517,86
516,87
517,87
517,88
517,89
517,89
517,90
518,91
517,92
518,93
517,93
518,94
518,95
518,95
518,97
518,97
518,98
519,99
518,100
518,101
519,102
518,103
519,104
519,104
519,106
519,106
519,108
519,108
519,109
519,111
519,111
520,113
519,114
520,114
520,116
519,117
520,118
520,119
520,120
521,122
520,122
520,124
521,125
520,126
521,127
521,129
520,129
521,131
521,133
521,134
521,135
521,136
522,138
521,139
521,140
521,142
522,143
521,144
516,143
511,142
506,140
500,139
494,138
489,135
482,135
477,132
472,131
465,130
460,128
453,127
447,125
442,124
435,122
429,121
423,119
416,118
410,116
403,114
397,113
390,111
383,110
377,108
370,106
362,105
356,103
348,102
341,100
334,98
327,96
319,95
312,93
304,92
296,89
289,88
280,87
273,85
264,82
256,82
248,79
239,78
231,76
222,75
213,72
205,71
196,70
187,67
178,66
168,64
159,62
149,60
140,59
130,57
120,55
110,54
100,51
89,50
79,48
68,46
58,44
46,42
35,41
24,38
12,36
1,35
-7,32
